iter	tid	cls	conf	cx	cy	err_x	err_y	vx	vy	fvx	fvy	x1	y1	x2	y2	fseq
251	7	16	805	132	201	-18	51	164	-52	183	-298	96	131	169	271	784
252	7	16	742	135	196	-15	46	134	-30	181	-173	98	126	172	267	787
253	7	16	688	139	191	-11	41	114	-4	99	-245	102	120	177	263	790
254	7	16	789	141	188	-9	38	122	-16	182	-331	103	118	180	259	793
255	7	16	797	142	184	-8	34	96	-22	264	-359	104	115	181	254	795
256	7	16	813	144	181	-6	31	94	-4	208	-186	106	112	182	250	798
257	4	16	789	156	172	6	22	-2	144	193	-171	108	104	204	240	801
258	4	16	797	150	173	0	23	102	-60	212	-317	109	107	192	240	804
259	4	16	750	149	172	-1	22	78	-14	155	-317	110	107	189	238	806
260	4	16	688	149	170	-1	20	60	-4	233	-327	111	104	187	236	809
261	4	16	723	150	166	0	16	24	10	101	-139	114	101	186	232	812
262	4	16	734	151	162	1	12	8	14	44	-175	117	96	186	229	814
263	4	16	750	153	159	3	9	6	32	340	-302	119	91	187	228	817
264	4	16	766	154	155	4	5	-20	26	146	-336	120	86	189	224	820
265	4	16	773	157	150	7	0	-50	58	180	-285	122	82	192	219	823
266	4	16	664	159	146	9	-4	-56	56	249	-168	124	79	195	214	825
267	4	16	820	159	143	9	-7	-58	36	55	-389	124	77	195	210	828
268	4	16	750	164	133	14	-17	-168	106	335	-598	128	63	200	203	831
269	4	16	785	168	126	18	-24	-166	112	-85	-15	132	57	205	196	833
270	4	16	789	170	123	20	-27	-138	100	123	-118	133	54	207	192	836
271	4	16	707	173	119	23	-31	-164	122	296	-317	135	50	212	188	839
272	4	16	805	174	116	24	-34	-166	106	249	-303	137	49	212	183	841
273	4	16	758	177	113	27	-37	-178	138	25	-57	138	47	216	179	844
274	4	16	695	178	109	28	-41	-200	122	166	-150	137	41	219	177	847
275	4	16	773	179	105	29	-45	-200	126	137	-99	138	36	221	175	849
276	4	16	750	180	104	30	-46	-194	130	105	-81	139	34	222	174	852
